"","Age","Gender","Country","state","self_employed","family_history","treatment","work_interfere","no_employees","remote_work","tech_company","benefits","care_options","wellness_program","seek_help","anonymity","leave","mental_health_consequence","phys_health_consequence","coworkers","supervisor","mental_health_interview","phys_health_interview","mental_vs_physical","obs_consequence","age_grp"
"1020","Age 25","Gender Male","Country United States","state NA","self_employed No","family_history No","treatment No","work_interfere Rarely","no_employees 26-100","remote_work Yes","tech_company Yes","benefits Don't know","care_options No","wellness_program No","seek_help No","anonymity Don't know","leave Somewhat easy","mental_health_consequence Yes","phys_health_consequence No","coworkers Some of them","supervisor Some of them","mental_health_interview No","phys_health_interview Yes","mental_vs_physical Don't know","obs_consequence Yes","age_grp 22-25"
"1021","Age 19","Gender Male","Country Canada","state NA","self_employed No","family_history No","treatment No","work_interfere Never","no_employees 26-100","remote_work Yes","tech_company Yes","benefits Don't know","care_options No","wellness_program No","seek_help No","anonymity Don't know","leave Somewhat easy","mental_health_consequence No","phys_health_consequence No","coworkers Some of them","supervisor Some of them","mental_health_interview No","phys_health_interview Maybe","mental_vs_physical No","obs_consequence No","age_grp <=21"
"1022","Age 30","Gender Female","Country United States","state GA","self_employed No","family_history Yes","treatment Yes","work_interfere Sometimes","no_employees 500-1000","remote_work No","tech_company No","benefits Yes","care_options Yes","wellness_program Yes","seek_help Yes","anonymity Yes","leave Somewhat easy","mental_health_consequence Maybe","phys_health_consequence Maybe","coworkers Some of them","supervisor Some of them","mental_health_interview No","phys_health_interview No","mental_vs_physical No","obs_consequence Yes","age_grp 26-30"
"1023","Age 32","Gender Male","Country United States","state TN","self_employed No","family_history No","treatment No","work_interfere Never","no_employees 6-25","remote_work No","tech_company Yes","benefits Yes","care_options Yes","wellness_program Yes","seek_help Yes","anonymity Don't know","leave Somewhat easy","mental_health_consequence No","phys_health_consequence No","coworkers Yes","supervisor Yes","mental_health_interview No","phys_health_interview Maybe","mental_vs_physical Yes","obs_consequence No","age_grp 31-35"
"1024","Age 32","Gender Male","Country United Kingdom","state NA","self_employed No","family_history No","treatment No","work_interfere NA","no_employees 6-25","remote_work No","tech_company Yes","benefits No","care_options No","wellness_program No","seek_help No","anonymity Don't know","leave Don't know","mental_health_consequence Maybe","phys_health_consequence Maybe","coworkers No","supervisor No","mental_health_interview No","phys_health_interview Maybe","mental_vs_physical Don't know","obs_consequence No","age_grp 31-35"
"1025","Age 37","Gender Male","Country United States","state IN","self_employed No","family_history Yes","treatment No","work_interfere Sometimes","no_employees 26-100","remote_work Yes","tech_company Yes","benefits Don't know","care_options No","wellness_program No","seek_help No","anonymity Don't know","leave Somewhat easy","mental_health_consequence Maybe","phys_health_consequence No","coworkers Some of them","supervisor Some of them","mental_health_interview No","phys_health_interview Maybe","mental_vs_physical No","obs_consequence No","age_grp 36-40"
"1026","Age 42","Gender Male","Country United States","state CA","self_employed No","family_history Yes","treatment Yes","work_interfere Sometimes","no_employees 6-25","remote_work Yes","tech_company Yes","benefits Don't know","care_options No","wellness_program No","seek_help Don't know","anonymity Don't know","leave Don't know","mental_health_consequence Maybe","phys_health_consequence Maybe","coworkers Some of them","supervisor Some of them","mental_health_interview No","phys_health_interview No","mental_vs_physical Don't know","obs_consequence No","age_grp 41-55"
"1027","Age 25","Gender Female","Country United States","state OR","self_employed No","family_history No","treatment No","work_interfere Never","no_employees More than 1000","remote_work No","tech_company Yes","benefits Yes","care_options Yes","wellness_program Yes","seek_help Yes","anonymity Don't know","leave Don't know","mental_health_consequence Maybe","phys_health_consequence No","coworkers Some of them","supervisor Yes","mental_health_interview Maybe","phys_health_interview No","mental_vs_physical Yes","obs_consequence No","age_grp 22-25"
"1028","Age 19","Gender Male","Country United States","state IN","self_employed No","family_history No","treatment No","work_interfere Sometimes","no_employees 1-5","remote_work No","tech_company Yes","benefits Don't know","care_options Not sure","wellness_program No","seek_help No","anonymity Don't know","leave Don't know","mental_health_consequence No","phys_health_consequence No","coworkers Some of them","supervisor Yes","mental_health_interview Maybe","phys_health_interview Maybe","mental_vs_physical Don't know","obs_consequence No","age_grp <=21"
"1029","Age 40","Gender Female","Country United States","state GA","self_employed No","family_history Yes","treatment No","work_interfere Never","no_employees 100-500","remote_work Yes","tech_company Yes","benefits Yes","care_options Yes","wellness_program Yes","seek_help No","anonymity Don't know","leave Don't know","mental_health_consequence Yes","phys_health_consequence Yes","coworkers No","supervisor No","mental_health_interview No","phys_health_interview No","mental_vs_physical Don't know","obs_consequence No","age_grp 36-40"
"1030","Age 34","Gender Male","Country United States","state IN","self_employed No","family_history No","treatment No","work_interfere NA","no_employees More than 1000","remote_work No","tech_company No","benefits Yes","care_options Not sure","wellness_program Yes","seek_help Don't know","anonymity Don't know","leave Don't know","mental_health_consequence Maybe","phys_health_consequence Maybe","coworkers Some of them","supervisor Yes","mental_health_interview No","phys_health_interview No","mental_vs_physical Don't know","obs_consequence No","age_grp 31-35"
"1031","Age 26","Gender Male","Country United States","state MN","self_employed No","family_history Yes","treatment No","work_interfere NA","no_employees 6-25","remote_work No","tech_company Yes","benefits Don't know","care_options Not sure","wellness_program No","seek_help No","anonymity Don't know","leave Don't know","mental_health_consequence No","phys_health_consequence No","coworkers Some of them","supervisor Yes","mental_health_interview No","phys_health_interview No","mental_vs_physical Yes","obs_consequence No","age_grp 26-30"
"1032","Age 31","Gender Male","Country United States","state MN","self_employed No","family_history Yes","treatment Yes","work_interfere Rarely","no_employees 6-25","remote_work No","tech_company Yes","benefits Don't know","care_options Not sure","wellness_program Don't know","seek_help Don't know","anonymity Yes","leave Don't know","mental_health_consequence No","phys_health_consequence No","coworkers Yes","supervisor Yes","mental_health_interview Maybe","phys_health_interview Maybe","mental_vs_physical Yes","obs_consequence No","age_grp 31-35"
"1033","Age 40","Gender Male","Country United States","state NC","self_employed No","family_history Yes","treatment No","work_interfere Sometimes","no_employees More than 1000","remote_work Yes","tech_company No","benefits Yes","care_options Not sure","wellness_program Yes","seek_help Don't know","anonymity Don't know","leave Don't know","mental_health_consequence Yes","phys_health_consequence Maybe","coworkers Some of them","supervisor Some of them","mental_health_interview No","phys_health_interview Maybe","mental_vs_physical No","obs_consequence No","age_grp 36-40"
"1034","Age 31","Gender Female","Country United States","state FL","self_employed No","family_history Yes","treatment Yes","work_interfere Often","no_employees 26-100","remote_work No","tech_company Yes","benefits No","care_options No","wellness_program No","seek_help No","anonymity No","leave Very difficult","mental_health_consequence Yes","phys_health_consequence No","coworkers No","supervisor No","mental_health_interview No","phys_health_interview Yes","mental_vs_physical No","obs_consequence Yes","age_grp 31-35"
"1035","Age 36","Gender Male","Country United States","state MN","self_employed No","family_history No","treatment No","work_interfere Never","no_employees 100-500","remote_work No","tech_company No","benefits Don't know","care_options No","wellness_program No","seek_help Don't know","anonymity Don't know","leave Don't know","mental_health_consequence Yes","phys_health_consequence Maybe","coworkers No","supervisor No","mental_health_interview No","phys_health_interview Maybe","mental_vs_physical Don't know","obs_consequence Yes","age_grp 36-40"
"1036","Age 35","Gender Male","Country Canada","state NA","self_employed No","family_history Yes","treatment No","work_interfere Sometimes","no_employees 6-25","remote_work Yes","tech_company Yes","benefits No","care_options Yes","wellness_program No","seek_help No","anonymity Don't know","leave Don't know","mental_health_consequence Maybe","phys_health_consequence No","coworkers No","supervisor Some of them","mental_health_interview No","phys_health_interview No","mental_vs_physical Don't know","obs_consequence No","age_grp 31-35"
